support,itemsets,length
0.03983184758951731,frozenset({'GIN + TONIC DIET METAL SIGN'}),1
0.03971259056080618,frozenset({'LUNCH BAG WOODLAND'}),1
0.03783429235860589,frozenset({'HAND OVER THE CHOCOLATE   SIGN'}),1
0.0364628365284279,frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'}),1
0.03571748009898333,frozenset({'ZINC METAL HEART DECORATION'}),1
0.03544915178438329,frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),1
0.03530008049849438,frozenset({'6 RIBBONS RUSTIC CHARM'}),1
0.035001937926716555,frozenset({'PINK CREAM FELT CRAFT TRINKET BOX'}),1
0.03431621001162756,frozenset({'RECIPE BOX PANTRY YELLOW DESIGN'}),1
0.034226767240094214,frozenset({'COOK WITH WINE METAL SIGN'}),1
0.03366029635371635,frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),1
0.033630482096538565,frozenset({'FELTCRAFT 6 FLOWER FRIENDS'}),1
0.03327271101040517,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),1
0.03276586863838288,frozenset({'VINTAGE UNION JACK BUNTING'}),1
0.03270624012402731,frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),1
0.03261679735249396,"frozenset({'RED HANGING HEART T-LIGHT HOLDER', 'WHITE HANGING HEART T-LIGHT HOLDER'})",2
0.03231865478071614,frozenset({'CREAM HEART CARD HOLDER'}),1
0.032080140723293876,frozenset({'HANGING HEART ZINC T-LIGHT HOLDER'}),1
0.03157329835127158,frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),1
0.0315434840940938,frozenset({'COLOUR GLASS T-LIGHT HOLDER HANGING'}),1
0.03109627023642706,frozenset({'PACK OF 72 SKULL CAKE CASES'}),1
0.03100682746489371,frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),1
0.030798127664649236,frozenset({'BATHROOM METAL SIGN'}),1
0.030768313407471454,frozenset({'HANGING HEART JAR T-LIGHT HOLDER'}),1
0.030201842521093588,frozenset({'HAND WARMER OWL DESIGN'}),1
0.030172028263915806,frozenset({'LUNCH BAG PINK POLKADOT'}),1
0.030052771235204674,frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),1
0.030022956978026892,frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN'}),1
0.029814257177782414,frozenset({'ALARM CLOCK BAKELIKE RED'}),1
0.02975462866342685,frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),1
0.029724814406249068,frozenset({'WOOD BLACK BOARD ANT WHITE FINISH'}),1
0.029426671834471244,frozenset({'JUMBO BAG PINK POLKADOT'}),1
0.02939685757729346,frozenset({'FELTCRAFT BUTTERFLY HEARTS'}),1
0.029307414805760115,frozenset({'WOOD S/3 CABINET ANT WHITE FINISH'}),1
0.029068900748337855,frozenset({'RETROSPOT TEA SET CERAMIC 11 PC'}),1
0.02900927223398229,frozenset({'LUNCH BAG SUKI  DESIGN'}),1
0.02897945797680451,"frozenset({'WOODEN PICTURE FRAME WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE'})",2
0.02862168689067112,frozenset({'JUMBO STORAGE BAG SKULLS'}),1
0.028234101547359947,frozenset({'LUNCH BAG RED SPOTTY'}),1
0.0281446587758266,frozenset({'SMALL POPCORN HOLDER'}),1
0.028055216004293254,frozenset({'PINK BLUE FELT CRAFT TRINKET BOX'}),1
0.027935958975582122,frozenset({'NO SINGING METAL SIGN'}),1
0.02790614471840434,frozenset({'VINTAGE HEADS AND TAILS CARD GAME'}),1
0.027548373632270952,frozenset({'RECYCLING BAG RETROSPOT'}),1
0.027429116603559824,frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),1
0.027369488089204256,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),1
0.027339673832026474,frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),1
0.027339673832026474,frozenset({'SET/5 RED RETROSPOT LID GLASS BOWLS'}),1
0.02716078828895978,frozenset({'RED WOOLLY HOTTIE WHITE HEART.'}),1
0.02707134551742643,frozenset({'SPOTTY BUNTING'}),1
0.02707134551742643,frozenset({'IVORY KITCHEN SCALES'}),1
0.026803017202826393,frozenset({'CHILLI LIGHTS'}),1
0.02665394591693748,frozenset({'CLOTHES PEGS RETROSPOT PACK 24'}),1
0.026385617602337437,frozenset({'STRAWBERRY CHARLOTTE BAG'}),1
0.02626636057362631,frozenset({'HAND WARMER BIRD DESIGN'}),1
0.025938403744670702,frozenset({'GREY HEART HOT WATER BOTTLE'}),1
0.025729703944426224,frozenset({'PLASTERS IN TIN SPACEBOY'}),1
0.02567007543007066,frozenset({'JUMBO BAG SPACEBOY DESIGN'}),1
0.025521004144181746,frozenset({'LADIES & GENTLEMEN METAL SIGN'}),1
0.025521004144181746,frozenset({'PLASTERS IN TIN VINTAGE PAISLEY'}),1
0.025491189887003964,"frozenset({'HEART OF WICKER LARGE', 'HEART OF WICKER SMALL'})",2
0.025371932858292836,frozenset({'SET OF 3 HEART COOKIE CUTTERS'}),1
0.025252675829581708,frozenset({'JUMBO BAG OWLS'}),1
0.025222861572403922,frozenset({'WORLD WAR 2 GLIDERS ASSTD DESIGNS'}),1
0.025222861572403922,frozenset({'PACK OF 6 BIRDY GIFT TAGS'}),1
0.02504397602933723,frozenset({'POTTERING IN THE SHED METAL SIGN'}),1
0.024924719000626098,frozenset({'LUNCH BAG SUKI DESIGN'}),1
0.024745833457559405,frozenset({'RED RETROSPOT CAKE STAND'}),1
0.02468620494320384,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1
0.024537133657314927,frozenset({'CHARLOTTE BAG SUKI DESIGN'}),1
0.024537133657314927,frozenset({'DOORMAT UNION FLAG'}),1
0.024238991085537103,frozenset({'DOORMAT HEARTS'}),1
0.02420917682835932,frozenset({'SET OF 20 VINTAGE CHRISTMAS NAPKINS'}),1
0.023911034256581497,frozenset({'HOT BATHS METAL SIGN'}),1
0.02370233445633702,frozenset({'PLASTERS IN TIN SKULLS'}),1
0.02370233445633702,frozenset({'SPACEBOY LUNCH BOX'}),1
0.023672520199159237,frozenset({'SET OF 4 PANTRY JELLY MOULDS'}),1
0.023612891684803673,frozenset({'WOODEN BOX OF DOMINOES'}),1
0.023255120598670284,frozenset({'HAND WARMER UNION JACK'}),1
0.023255120598670284,frozenset({'3 STRIPEY MICE FELTCRAFT'}),1
0.023255120598670284,frozenset({'PARTY METAL SIGN'}),1
0.023106049312781374,frozenset({'CREAM SWEETHEART MINI CHEST'}),1
0.023046420798425806,frozenset({'HOT WATER BOTTLE I AM SO POORLY'}),1
0.023016606541248024,frozenset({'JAM MAKING SET WITH JARS'}),1
0.022986792284070242,frozenset({'EDWARDIAN PARASOL NATURAL'}),1
0.022927163769714678,frozenset({'GRAND CHOCOLATECANDLE'}),1
0.022897349512536896,frozenset({'SINGLE HEART ZINC T-LIGHT HOLDER'}),1
0.022897349512536896,frozenset({'HANGING JAM JAR T-LIGHT HOLDER'}),1
0.022867535255359114,frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),1
0.02280790674100355,frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),1
0.022778092483825764,"frozenset({'HOME BUILDING BLOCK WORD', 'LOVE BUILDING BLOCK WORD'})",2
0.022658835455114636,frozenset({'RIBBON REEL STRIPES DESIGN'}),1
0.022629021197936854,frozenset({'GUMBALL COAT RACK'}),1
0.02259920694075907,frozenset({'DOLLY GIRL LUNCH BOX'}),1
0.02256939268358129,frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),1
0.022539578426403507,"frozenset({'STRAWBERRY CERAMIC TRINKET BOX', 'SWEETHEART CERAMIC TRINKET BOX'})",2
0.022509764169225725,frozenset({'BAKING SET SPACEBOY DESIGN'}),1
0.022420321397692376,frozenset({'PACK OF 60 SPACEBOY CAKE CASES'}),1
0.022420321397692376,frozenset({'RED RETROSPOT CHARLOTTE BAG'}),1
0.022390507140514593,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),1
0.02236069288333681,frozenset({'RETROSPOT HEART HOT WATER BOTTLE'}),1
0.02233087862615903,frozenset({'JAM MAKING SET PRINTED'}),1
0.022271250111803465,frozenset({'CHOCOLATE THIS WAY METAL SIGN'}),1
0.022241435854625683,frozenset({'WOODLAND CHARLOTTE BAG'}),1
0.022241435854625683,frozenset({'LUNCH BAG APPLE DESIGN'}),1
0.02212217882591455,frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),1
0.02209236456873677,frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),1
0.022062550311558987,frozenset({'WHITE WOOD GARDEN PLANT LADDER'}),1
0.022032736054381205,frozenset({'WOODEN SCHOOL COLOURING SET'}),1
0.02197310754002564,frozenset({'BEWARE OF THE CAT METAL SIGN'}),1
0.021824036254136727,frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'}),1
0.021794221996958945,"frozenset({'LUNCH BAG SPACEBOY DESIGN', 'LUNCH BAG  BLACK SKULL.'})",2
0.02173459348260338,frozenset({'FELTCRAFT CUSHION OWL'}),1
0.021674964968247817,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),1
0.02158552219671447,frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),1
0.02149607942518112,frozenset({'SET OF 3 BUTTERFLY COOKIE CUTTERS'}),1
0.02146626516800334,frozenset({'RED  HARMONICA IN BOX'}),1
0.02125756536775886,frozenset({'HEART IVORY TRELLIS LARGE'}),1
0.021138308339047732,"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG  BLACK SKULL.'})",2
0.021138308339047732,frozenset({'WICKER STAR'}),1
0.021138308339047732,frozenset({'JUMBO BAG VINTAGE LEAF'}),1
0.02110849408186995,frozenset({'POTTING SHED TEA MUG'}),1
0.021078679824692168,frozenset({'TOILET METAL SIGN'}),1
0.021048865567514386,frozenset({'JUMBO BAG WOODLAND ANIMALS'}),1
0.021048865567514386,frozenset({'WHITE SKULL HOT WATER BOTTLE'}),1
0.020959422795981036,frozenset({'PACK OF 12 HEARTS DESIGN TISSUES'}),1
0.020929608538803254,frozenset({'LOVEBIRD HANGING DECORATION WHITE'}),1
0.02086998002444769,frozenset({'SET/5 RED SPOTTY LID GLASS BOWLS'}),1
0.020810351510092126,"frozenset({'JUMBO BAG STRAWBERRY', 'JUMBO BAG RED RETROSPOT'})",2
0.020810351510092126,frozenset({'SET/20 RED SPOTTY PAPER NAPKINS'}),1
0.020780537252914344,frozenset({'PAPER CHAIN KIT EMPIRE'}),1
0.020750722995736562,frozenset({'JUMBO BAG ALPHABET'}),1
0.02072090873855878,frozenset({'SMALL GLASS HEART TRINKET POT'}),1
0.02072090873855878,"frozenset({'JUMBO STORAGE BAG SUKI', 'JUMBO BAG RED RETROSPOT'})",2
0.020661280224203216,frozenset({'HOT WATER BOTTLE KEEP CALM'}),1
0.020571837452669866,frozenset({'FAWN BLUE HOT WATER BOTTLE'}),1
0.020512208938314302,frozenset({'METAL SIGN TAKE IT OR LEAVE IT'}),1
0.02048239468113652,frozenset({'DOORMAT NEW ENGLAND'}),1
0.020392951909603173,frozenset({'CREAM CUPID HEARTS COAT HANGER'}),1
0.020303509138069824,frozenset({'HEART FILIGREE DOVE  SMALL'}),1
0.02024388062371426,frozenset({'AREA PATROLLED METAL SIGN'}),1
0.02024388062371426,frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),1
0.02024388062371426,frozenset({'BLUE HARMONICA IN BOX'}),1
0.02024388062371426,frozenset({'PAINTED METAL PEARS ASSORTED'}),1
0.02012462359500313,frozenset({'JUMBO BAG SCANDINAVIAN PAISLEY'}),1
0.02012462359500313,frozenset({'METAL 4 HOOK HANGER FRENCH CHATEAU'}),1
0.020064995080647567,frozenset({'LUNCH BAG PINK RETROSPOT'}),1
0.020064995080647567,frozenset({'EDWARDIAN PARASOL BLACK'}),1
